Shape,objectid,numero_estación,nombre_estación,ubicación,troncal_estación,numero_vagones,numero_accesos,biciestación,capacidad,tipo estación,biciparqueadero,latitud,longitud,last_edi_1
Point,71,4100,Granja - Carrera 77,Carrera 77 Bis,Calle 80,3,2,0,0,2,0,4.699148,-74.096016,27/09/2021
Point,72,5000,Portal de las Américas,av.Cali - Calle 43 sur,Americas,0,0,1,785,1,1,4.629381,-74.173058,27/09/2021
Point,73,6106,Recinto Ferial,Carrera 43,Calle 26,2,1,0,0,4,0,4.634314,-74.089694,27/09/2021
Point,74,6105,Quinta Paredes,Carrera 47,Calle 26,4,1,1,48,4,1,4.637522,-74.093104,27/09/2021
Point,75,7008,NQS - Calle 30 S,AutoSur-Dg 26 Sur,NQS,2,1,0,0,4,0,4.594792,-74.117879,27/09/2021
Point,76,3005,Suba - AV. Boyacá,Av Suba Av Boyaca,Suba,2,2,0,0,4,0,4.721362,-74.074727,27/09/2021
Point,77,4107,Escuela Militar,Carrera 40,Calle 80,2,1,0,0,4,0,4.675456,-74.06966,27/09/2021
Point,78,12007,Zona Industrial,calle 13 carrera 38,Americas,2,2,0,0,4,0,4.620322,-74.098689,27/09/2021
Point,79,9004,Santa Lucía,Calle 46A Sur - Diagonal 4,Caracas,2,2,0,0,4,0,4.570964,-74.124695,27/09/2021
Point,80,7506,La Despensa,soacha,Soacha,2,1,0,0,4,0,4.594601,-74.188116,27/09/2021
Point,81,2101,Toberín,Calle 165,Autonorte,5,1,0,0,4,0,4.746188,-74.047269,27/09/2021
Point,82,3014,San Martín,Av Suba Cl 81,Suba,2,1,0,0,4,0,4.676542,-74.067066,27/09/2021
Point,83,7101,La Castellana,KR 30 Kr 24,NQS,4,1,0,0,4,0,4.675619,-74.064448,27/09/2021
Point,84,7112,Comuneros,KR 30 -Cl 6A,NQS,2,2,0,0,4,0,4.604246,-74.099857,27/09/2021
Point,85,2102,Calle 161,Calle 160,Autonorte,4,1,0,0,4,0,4.741913,-74.047986,27/09/2021
Point,86,7106,Campín,Kr 30 Cl 53,NQS,2,2,0,0,4,0,4.645396,-74.078699,27/09/2021
Point,87,6103,CAN,Carrera 60,Calle 26,4,1,0,0,4,0,4.646881,-74.099048,27/09/2021
Point,88,3000,Portal de Suba,Av Suba Av C. Cali,Suba,0,0,1,324,1,1,4.746815,-74.094279,27/09/2021
Point,89,9105,Fucha,Calle 13 Sur - Calle 16 Su,Caracas,2,1,0,0,4,0,4.582964,-74.099398,27/09/2021
Point,90,7201,Guatoque - Veraguas,Carrera 27,Calle 6,4,2,0,0,4,0,4.604179,-74.094927,27/09/2021
Point,91,7200,Tygua - San José,Carrera 18,Calle 6,4,2,0,0,4,0,4.599783,-74.088764,27/09/2021
Point,92,3013,Rionegro,Av Suba Cl 87,Suba,2,1,0,0,4,0,4.680501,-74.064704,27/09/2021
Point,93,9001,Molinos,Carrera 9A,Caracas,2,2,0,0,2,0,4.557059,-74.121834,27/09/2021
Point,94,5102,AV. Américas - AV. Boyacá,Av. Americas -Carrera 71,Americas,4,1,1,32,4,1,4.630113,-74.134225,27/09/2021
Point,95,7504,Terreros - Hospital C.V,soacha,Soacha,3,1,0,0,4,0,4.588977,-74.19953,27/09/2021
Point,96,7505,Leon XIII,soacha,Soacha,2,1,0,0,4,0,4.592179,-74.193138,27/09/2021
Point,97,12003,Ricaurte - CL 13,calle 13 - carrera 28,Americas,3,2,0,0,3,0,4.613015,-74.09048,27/09/2021
Point,98,10010,San Bernardo,Kra 10- Cl1b  sur,Cr 7-10,2,2,0,0,4,0,4.59019,-74.084319,27/09/2021
Point,99,6000,Portal El Dorado,carrera 87,Calle 26,0,0,1,532,1,1,4.681604,-74.121395,27/09/2021
Point,100,8001,Parque,Calle 55 Sur,Tunal,2,1,0,0,4,0,4.568336,-74.135418,27/09/2021
Point,101,4001,Quirigua,Carrera 94,Calle 80,1,1,0,0,4,0,4.706744,-74.108726,27/09/2021
Point,102,9111,Calle 19,Calle 19 - Calle 17,Caracas,3,2,0,0,4,0,4.607861,-74.076858,27/09/2021
Point,103,9002,Consuelo,Carrera 11A - Carrera 10C,Caracas,2,1,0,0,4,0,4.560225,-74.123869,27/09/2021
Point,104,9000,Portal de Usme,Calle 65C Sur,Caracas,0,0,0,0,1,0,4.531715,-74.119391,27/09/2021
Point,105,7003,Sevillana,Sevillana,NQS,2,1,0,0,4,0,4.595096,-74.147408,27/09/2021
Point,106,3012,Suba - Calle 95,Av Suba Cl 97,Suba,2,1,0,0,4,0,4.684575,-74.063153,27/09/2021
Point,107,7503,San Mateo,soacha,Soacha,3,1,1,650,2,1,4.585983,-74.20546,27/09/2021
Point,108,9110,AV. Jiménez - Caracas,Calle 13 - Calle 11,Caracas,4,2,0,0,3,0,4.602874,-74.080428,27/09/2021
Point,109,9113,Calle 22,Calle 24 - Calle 22,Caracas,3,2,0,0,4,0,4.611695,-74.074684,27/09/2021
Point,110,6107,Ciudad Universitaria,carrera 34,Calle 26,2,2,0,0,4,0,4.63088,-74.083527,27/09/2021
Point,111,12004,San Fason Carrera 22,Av. Americas -Carrera 22,Americas,2,2,0,0,4,0,4.609818,-74.086712,27/09/2021
Point,112,9116,AV. 39,Avenida 39 - Avenida Calle,Caracas,3,2,0,0,4,0,4.626897,-74.068691,27/09/2021
Point,113,7105,Movistar Arena,Kr 30 Cl 57,NQS,2,1,0,0,4,0,4.650039,-74.078346,27/09/2021
Point,114,3011,Suba - Calle 100,Av Suba Cl 100,Suba,2,1,0,0,4,0,4.690398,-74.065618,27/09/2021
Point,115,9109,Tercer Milenio,Calle 8 - Calle 6,Caracas,3,2,0,0,4,0,4.598127,-74.083838,27/09/2021
Point,116,5105,Pradera,Av. Americas -Carrera 64,Americas,4,1,1,32,4,1,4.628532,-74.118673,27/09/2021
Point,117,9101,Quiroga,Calle 31 Sur - Calle 32 Su,Caracas,2,1,0,0,4,0,4.576796,-74.114377,27/09/2021
Point,118,14001,De La Sabana,Calle 13 - Carrera 16,Americas,2,2,0,0,4,0,4.605431,-74.081892,27/09/2021
Point,119,6100,AV. Rojas,Calle 26-Carrera 69 d,Calle 26,6,1,1,104,4,1,4.661952,-74.10876,27/09/2021
Point,120,9108,Hospital,Calle 4 - Calle 2,Caracas,2,1,0,0,4,0,4.595046,-74.08622,27/09/2021
Point,121,4102,AV. Boyacá,Transversal 69 B,Calle 80,1,1,0,0,4,0,4.693952,-74.087113,27/09/2021
Point,122,4103,Ferias,Transversal  67 Bis,Calle 80,1,1,0,0,4,0,4.6909,-74.084584,27/09/2021
Point,123,3004,Gratamira,Av Suba Cl 135,Suba,2,1,0,0,4,0,4.727337,-74.074726,27/09/2021
Point,124,3006,Niza - Calle 127,Av Suba Cl 127,Suba,2,2,0,0,4,0,4.71193,-74.072282,27/09/2021
Point,125,9003,Socorro,Carrera 16B - Carrera 14A,Caracas,2,2,0,0,4,0,4.564658,-74.125573,27/09/2021
Point,126,10002,AV. 1 Mayo,AV. 1? Mayo con Cra 7,Cr 7-10,3,2,0,0,4,0,4.576937,-74.093707,27/09/2021
Point,127,10005,Bicentenario,Kra 10 -Cl5,Cr 7-10,0,2,1,116,2,1,4.594021,-74.081836,27/09/2021
Point,128,5107,Américas - Carrera 53A,Amï¿½ricas - KR 53A,Americas,4,1,0,0,4,0,4.627886,-74.111581,27/09/2021
Point,129,5101,Mandalay,av. Amï¿½ricas Carrera 73,Americas,4,1,0,0,4,0,4.630847,-74.1413,27/09/2021
Point,130,10001,Country Sur,Kra 10- Cl28 sur,Cr 7-10,2,2,0,0,4,0,4.571414,-74.098631,27/09/2021
Point,131,7007,NQS - Calle 38A S,AutoSur - Kr 39A,NQS,2,1,0,0,4,0,4.593792,-74.123754,27/09/2021
Point,132,8002,Biblioteca,Calle 48A Sur,Tunal,2,1,0,0,4,0,4.570302,-74.130388,27/09/2021
Point,133,3003,21 Ángeles,Av Suba Cl 136,Suba,2,1,0,0,4,0,4.735434,-74.080854,27/09/2021
Point,134,6109,Centro Memoria,Carrera 20,Calle 26,2,2,0,0,4,0,4.620466,-74.076313,27/09/2021
Point,135,5103,Marsella,Av. Americas -Carrera 69C,Americas,6,1,1,32,4,1,4.629686,-74.130163,27/09/2021
Point,136,12001,Carrera 43,Av. Americas -Carrera 43,Americas,2,2,0,0,4,0,4.622805,-74.101417,27/09/2021
Point,137,10007,Las Nieves,Kra 10- Cl18,Cr 7-10,2,2,0,0,4,0,4.606061,-74.074319,27/09/2021
Point,138,10009,Museo Nacional,Kra 7- Cl32,Cr 7-10,0,1,0,0,4,0,4.615247,-74.069226,27/09/2021
Point,139,10008,San Diego,Kra 10- Cl23,Cr 7-10,2,2,0,0,4,0,4.610897,-74.071497,27/09/2021
Point,140,5005,Transversal 86,Av. Americas -tv. 86,Americas,4,1,0,0,4,0,4.6342,-74.152063,27/09/2021
Point,141,3007,Humedal Córdoba,Av Suba Cl 119,Suba,2,1,0,0,4,0,4.706537,-74.07114,27/09/2021
Point,142,6108,Concejo de Bogotá,Carrera38,Calle 26,2,1,0,0,4,0,4.625983,-74.08028,27/09/2021
Point,143,6111,Universidades,carrera 4,Calle 26,2,2,0,0,3,0,4.604643,-74.06731,27/09/2021
Point,144,10000,Portal 20 de Julio,Kra 5 a Cl 33 Sur,Cr 7-10,0,0,1,216,1,1,4.565718,-74.097008,27/09/2021
Point,145,12000,Puente Aranda,calle 13 carrera 47,Americas,2,1,0,0,4,0,4.625669,-74.10464,27/09/2021
Point,146,10006,San Victorino,Kra 10- Cl12,Cr 7-10,3,2,0,0,4,0,4.601018,-74.077406,27/09/2021
Point,147,10003,Ciudad Jardín,Kra 10- Cl12 sur,Cr 7-10,2,1,0,0,4,0,4.581532,-74.090338,27/09/2021
Point,148,10004,Policarpa,Kra 10- Cl3 sur,Cr 7-10,2,2,0,0,4,0,4.586257,-74.086921,27/09/2021
Point,149,7010,Bosa,soacha,Soacha,2,1,0,0,4,0,4.596879,-74.181225,27/09/2021
