Shape *,OBJECTID_1,objectid,cenefa_par,mdoulo_par,zona_parad,nombre_par,direccion_,localidad_,consola_pa,panel_para,audio_para,Latitud,Longitud,Nombre_Localidad,Nombre_Zona,Localidad
Point,7046,64333,604A03,A,3,Urb. Hato Chico,KR 136A - DG 151B,11,KR 136A - DG 151B (604A03),KR 136A - DG 151B,Carrera 136 A Diagonal 151 Be,4.757308,-74.106282,Suba,3,Suba
Point,7047,64334,604A08,A,8,Condominios del Porvenir,CL 52 Sur - KR 93D,7,CL 52 Sur - KR 93D (604A08),CL 52 Sur - KR 93D,Calle 52 Sur Carrera 93 D,4.638204,-74.185823,Bosa,8,Bosa
Point,7048,64335,604A09,A,9,Br. Olarte,KR 72A - CL 55 Sur,7,KR 72A - CL 55 Sur (604A09),KR 72A - CL 55 Sur,Carrera 72 A Calle 55 Sur,4.602205,-74.163896,Bosa,9,Bosa
Point,7049,64336,604A11,A,11,Br. Arborizadora Alta I,CL 69J Sur - TV 38,19,CL 69J Sur - TV 38 (604A11),CL 69J Sur - TV 38,Calle 69 J sur Transversal 38,4.568209,-74.157244,Ciudad Bolivar,11,Ciudad Bolivar
Point,7050,64337,605A00,A,0,Br. San Bernardo,CL 2 - KR 11,3,CL 2 - KR 11 (605A00),CL 2 - KR 11,Calle Segunda Carrera 11,4.591826,-74.084571,Santa Fe,0,Santa Fe
Point,7051,64338,605A01,A,1,Br. Soratama CL 167,CL 167 - KR 4,1,CL 167 - KR 4 (605A01),CL 167 - KR 4,Calle 167 Carrera Cuarta,4.74334,-74.020706,Usaquén,1,Usaquén
Point,7052,64339,605A03,A,3,Urb. Rodesia I Etapa,KR 136A - CL 145,11,KR 136A - CL 145 (605A03),KR 136A - CL 145,Carrera 136 A Calle 145,4.755484,-74.108182,Suba,3,Suba
Point,7053,64340,605A08,A,8,Br. Hipotecho Occidental III,CL 8 Sur - KR 70,8,CL 8 Sur - KR 70 (605A08),CL 8 Sur - KR 70,Calle Octava Sur Carrera 70,4.617909,-74.132657,Kennedy,8,Kennedy
Point,7054,64341,605A09,A,9,Urb. Olarte,KR 71D - CL 54 Sur,7,KR 71D - CL 54 Sur (605A09),KR 71D - CL 54 Sur,Carrera 71 D Calle 54 Sur,4.603206,-74.163206,Bosa,9,Bosa
Point,7055,64342,605A11,A,11,Br. Arborizadora Alta I,CL 69J Sur - TV 38,19,CL 69J Sur - TV 38 (605A11),CL 69J Sur - TV 38,Calle 69 J sur Transversal 38,4.568223,-74.157386,Ciudad Bolivar,11,Ciudad Bolivar
Point,7056,64343,606A01,A,1,Br. Soratama CL 166A,CL 166A - KR 2B,1,CL 166A - KR 2B (606A01),CL 166A - KR 2B,Calle 166 A Carrera Segunda Be,4.742742,-74.018892,Usaquén,1,Usaquén
Point,7057,64344,606A03,A,3,Urb. Rodesia I Etapa,CL 145 - KR 136A,11,CL 145 - KR 136A (606A03),CL 145 - KR 136A,Calle 145 Carrera 136 A,4.753974,-74.110118,Suba,3,Suba
Point,7058,64345,606A08,A,8,Br. Hipotecho Occidental II,KR 69A - CL 1 Sur,8,KR 69A - CL 1 Sur (606A08),KR 69A - CL 1 Sur,Carrera 69 A Calle Primera Sur,4.621528,-74.12937,Kennedy,8,Kennedy
Point,7059,64346,606A09,A,9,Br. La Paz,KR 82A - CL 61 Sur,7,KR 82A - CL 61 Sur (606A09),KR 82A - CL 61 Sur,Carrera 82 A Calle 61 Sur,4.614698,-74.187088,Bosa,9,Bosa
Point,7060,64347,606A11,A,11,Br. Tunjuelito,CL 55A Sur - KR 13A,6,CL 55A Sur - KR 13A (606A11),CL 55A Sur - KR 13A,Calle 55 A Sur Carrera 13 A,4.561937,-74.12849,Tunjuelito,11,Tunjuelito
Point,7061,64348,607A00,A,0,Parque de los Periodistas,KR 3 - CL 12DBis,17,KR 3 - CL 12DBis (607A00),KR 3 - CL 12DBis,Carrera Tercera Calle 12 D Bis,4.600183,-74.069147,La Candelaria,0,La Candelaria
Point,7062,64349,607A01,A,1,Br. Soratama CL166A,CL 166A - KR 3,1,CL 166A - KR 3 (607A01),CL 166A - KR 3,Calle 166 A Carrera Tercera,4.742811,-74.018957,Usaquén,1,Usaquén
Point,7063,64350,607A03,A,3,Urb. Los Campos,KR 129 - CL 137B,11,KR 129 - CL 137B (607A03),KR 129 - CL 137B,Carrera 129 - Calle 137 Be,4.745886,-74.111391,Suba,3,Suba
Point,7064,64351,607A08,A,8,Br. Hipotecho Occidental II,CL 3 Sur - KR 69C,8,CL 3 Sur - KR 69C (607A08),CL 3 Sur - KR 69C,Calle Tercera Sur Carrera 69 C,4.61982,-74.130706,Kennedy,8,Kennedy
Point,7065,64352,607A09,A,9,Br. La Paz,KR 82B - CL 61 Sur,7,KR 82B - CL 61 Sur (607A09),KR 82B - CL 61 Sur,Carrera 82 Be Calle 61 Sur,4.615154,-74.186945,Bosa,9,Bosa
